FPS;CPU;RAM;GPU;VRAM;Running Models
0.0;13.50;4.5;5.0;2.1;Yolo V8,Fast SAM,Image Captioning,Room Classification
0.6553125677742597;13.50;4.5;5.0;2.1;Yolo V8,Fast SAM,Image Captioning,Room Classification
0.6553125677742597;13.60;4.7;8.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
0.6553125677742597;0.00;4.7;8.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7426978190491007;0.00;4.7;8.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7426978190491007;14.30;4.7;5.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7426978190491007;0.00;4.7;5.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.8180926423904678;0.00;4.7;5.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.8180926423904678;13.70;4.7;2.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.8180926423904678;0.00;4.7;2.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7073750027390122;0.00;4.7;2.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7073750027390122;14.60;4.7;2.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7073750027390122;0.00;4.7;2.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7592473424759714;0.00;4.7;2.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7592473424759714;13.50;4.7;0.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7592473424759714;0.00;4.7;0.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7149853440268135;0.00;4.7;0.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7149853440268135;13.40;4.7;0.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7149853440268135;0.00;4.7;0.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7105359204488504;0.00;4.7;0.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7105359204488504;14.70;4.7;7.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7105359204488504;0.00;4.7;7.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.804442699604531;0.00;4.7;7.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
