FPS;CPU;RAM;GPU;VRAM;Running Models
1.5751311241516273;14.40;1.6;32.0;0.3;Room Classification
15.400900771121533;19.20;3.0;25.0;0.4;Room Classification
14.02126324569268;19.10;3.0;23.0;0.4;Room Classification
15.1400128708811;17.30;3.0;23.0;0.4;Room Classification
15.40199072574021;16.30;3.0;22.0;0.4;Room Classification
14.922607551945056;19.10;3.0;18.0;0.4;Room Classification
15.235746205139396;17.50;3.0;18.0;0.4;Room Classification
14.3448560779736;16.00;3.0;20.0;0.4;Room Classification
14.64490398786949;20.00;3.0;20.0;0.4;Room Classification
14.413401165329407;15.80;3.0;21.0;0.4;Room Classification
15.162950543580568;18.40;3.0;19.0;0.4;Room Classification
14.688126999533363;17.70;3.0;19.0;0.4;Room Classification
14.639680855017616;17.20;3.0;21.0;0.4;Room Classification
15.381633240884984;20.00;3.0;21.0;0.4;Room Classification
14.493515267800152;16.50;3.0;20.0;0.4;Room Classification
1.995260768831858;21.60;3.2;19.0;0.4;Yolo V8,Room Classification
6.758659182314507;24.10;3.2;28.0;0.5;Yolo V8,Room Classification
6.989039320291083;15.30;3.2;25.0;0.5;Yolo V8,Room Classification
6.538352629638862;15.10;3.2;18.0;0.5;Yolo V8,Room Classification
6.757364280337201;15.60;3.2;26.0;0.5;Yolo V8,Room Classification
6.708889330017409;15.20;3.2;25.0;0.5;Yolo V8,Room Classification
6.9716277408532585;15.20;3.2;19.0;0.5;Yolo V8,Room Classification
6.528186722443881;14.70;3.2;25.0;0.5;Yolo V8,Room Classification
6.7971722839063595;19.00;3.2;26.0;0.5;Yolo V8,Room Classification
7.083363115922665;15.00;3.2;22.0;0.5;Yolo V8,Room Classification
6.73556879631294;16.20;3.2;23.0;0.5;Yolo V8,Room Classification
6.969518157199529;15.00;3.2;25.0;0.5;Yolo V8,Room Classification
6.573182082276557;14.20;3.2;26.0;0.5;Yolo V8,Room Classification
6.5269371690163;16.10;3.2;26.0;0.5;Yolo V8,Room Classification
6.2827280261086065;16.00;3.2;36.0;0.5;Yolo V8,Room Classification
6.2339680264906;15.40;3.2;33.0;0.5;Yolo V8,Room Classification
6.456821933917113;20.20;3.2;30.0;0.5;Yolo V8,Room Classification
6.304701123720043;17.20;3.2;38.0;0.5;Yolo V8,Room Classification
6.53030105071378;15.70;3.2;33.0;0.5;Yolo V8,Room Classification
6.175305625908669;16.80;3.2;35.0;0.5;Yolo V8,Room Classification
13.535410881810362;14.40;3.2;37.0;0.3;Room Classification
13.607280918567193;20.60;3.2;26.0;0.4;Room Classification
13.38138230871878;20.00;3.2;33.0;0.4;Room Classification
13.471436936690063;16.30;3.2;33.0;0.4;Room Classification
13.421807202064498;17.30;3.2;30.0;0.4;Room Classification
12.823449061519979;18.30;3.2;32.0;0.4;Room Classification
13.129920749600284;25.50;3.2;32.0;0.4;Room Classification
13.601624839119989;17.10;3.2;32.0;0.4;Room Classification
13.34364957568925;15.80;3.2;30.0;0.4;Room Classification
13.791039928242489;20.40;3.2;30.0;0.4;Room Classification
13.94063692022927;16.00;3.2;32.0;0.4;Room Classification
12.641916095788304;20.00;3.2;29.0;0.4;Room Classification
13.500137066890943;18.90;3.2;29.0;0.4;Room Classification
13.5021202785342;16.70;3.2;35.0;0.4;Room Classification
13.519838971121331;16.30;3.2;28.0;0.4;Room Classification
13.714323267994684;17.50;3.2;28.0;0.4;Room Classification
13.539303691382319;16.70;3.2;33.0;0.4;Room Classification
12.895468391731335;16.20;3.2;30.0;0.4;Room Classification
13.50204498594329;16.70;3.2;30.0;0.4;Room Classification
13.57608126900629;17.30;3.2;33.0;0.4;Room Classification
13.85937323605889;15.70;3.2;32.0;0.4;Room Classification
13.561097204544994;19.40;3.2;32.0;0.4;Room Classification
13.49480041967923;24.50;3.2;35.0;0.4;Room Classification
14.11392722541101;16.70;3.2;33.0;0.4;Room Classification
14.039036186005774;15.10;3.2;33.0;0.4;Room Classification
13.26868018543042;19.20;3.2;31.0;0.4;Room Classification
13.724380835540641;16.20;3.2;31.0;0.4;Room Classification
14.13444842834666;16.30;3.2;31.0;0.4;Room Classification
14.263140014023296;16.00;3.2;37.0;0.4;Room Classification
13.34162079230967;16.50;3.2;37.0;0.4;Room Classification
12.989666252847961;18.10;3.2;36.0;0.4;Room Classification
13.338627345695826;16.80;3.2;35.0;0.4;Room Classification
14.026607773509951;18.30;3.2;35.0;0.4;Room Classification
13.370598796748926;15.70;3.2;38.0;0.4;Room Classification
13.345241737297794;17.30;3.2;34.0;0.4;Room Classification
13.142477745829545;17.90;3.2;34.0;0.4;Room Classification
13.08352128792035;16.30;3.2;35.0;0.4;Room Classification
