FPS;CPU;RAM;GPU;VRAM;Running Models
1818.3074477034986;4.70;2.0;40.0;3.7;
3265.8926488171564;6.60;2.0;40.0;3.7;
3341.207446683459;4.75;2.0;41.0;3.7;
2953.5030017917206;2.07;2.0;42.0;3.7;
3559.1368383798667;0.82;2.0;39.5;3.7;
3681.0177259099128;1.05;2.0;37.0;3.7;
3209.520726027886;0.85;2.0;37.5;3.7;
3818.4845149370944;0.62;2.0;38.0;3.7;
3695.6827073588074;8.22;2.0;39.0;3.7;
3239.034248496604;15.25;2.0;40.0;3.7;
3626.95991761653;17.70;2.0;37.0;3.7;
3067.719916009926;17.77;2.0;34.0;3.7;
2432.65202792324;9.85;2.0;36.0;3.7;
3765.3154221233353;12.70;2.0;38.0;3.7;
3384.7820232695376;11.62;2.0;38.0;3.7;
0.6703867014670033;22.83;2.1;38.0;3.7;Yolo V8
1.803866338202214;24.45;2.6;38.5;3.9;Yolo V8,Fast SAM
6.3196700171676525;28.85;3.1;47.25;4.3;Yolo V8,Fast SAM
5.933277071614378;24.65;3.6;54.0;4.7;Yolo V8,Fast SAM
5.869579631025974;12.87;4.0;63.5;5.1;Yolo V8,Fast SAM
6.2543223621989865;12.93;4.0;70.25;5.2;Yolo V8,Fast SAM
5.906116269472185;11.15;4.0;70.75;5.3;Yolo V8,Fast SAM
6.422867999791489;10.85;4.0;72.5;5.3;Yolo V8,Fast SAM
6.329271154361407;11.00;4.0;69.5;5.3;Yolo V8,Fast SAM
6.3082164797291504;11.72;4.0;71.75;5.3;Yolo V8,Fast SAM
5.914653210276203;11.55;4.0;70.25;5.3;Yolo V8,Fast SAM
6.062136107029323;12.30;4.0;71.25;5.3;Yolo V8,Fast SAM
6.465256345989006;12.18;4.0;71.75;5.3;Yolo V8,Fast SAM
6.175681005622233;12.00;4.0;71.5;5.3;Yolo V8,Fast SAM
5.9441651961611415;12.53;4.0;70.25;5.3;Yolo V8,Fast SAM
6.696646302124394;12.32;4.0;71.0;5.3;Yolo V8,Fast SAM
5.9134284599398175;12.40;4.0;68.0;5.3;Yolo V8,Fast SAM
6.701289728878649;12.22;4.0;69.5;5.3;Yolo V8,Fast SAM
6.530596379548071;11.93;4.0;66.25;5.3;Yolo V8,Fast SAM
5.897207347393694;11.97;4.0;65.25;5.3;Yolo V8,Fast SAM
6.10010081208876;11.80;4.0;62.5;5.3;Yolo V8,Fast SAM
6.526338681125932;11.80;4.0;62.0;5.3;Yolo V8,Fast SAM
5.890215824935249;12.33;4.0;61.25;5.3;Yolo V8,Fast SAM
5.913985597760823;11.97;4.0;63.0;5.3;Yolo V8,Fast SAM
6.182103502753486;11.95;4.0;65.25;5.3;Yolo V8,Fast SAM
5.916392837759902;11.78;4.0;65.0;5.3;Yolo V8,Fast SAM
6.153899361415844;11.22;4.0;66.25;5.3;Yolo V8,Fast SAM
5.965455882355832;11.55;4.0;65.5;5.3;Yolo V8,Fast SAM
6.015361862696525;11.65;4.0;65.75;5.3;Yolo V8,Fast SAM
6.275682761020838;11.50;4.0;66.5;5.3;Yolo V8,Fast SAM
6.466368906759564;11.32;4.0;67.0;5.3;Yolo V8,Fast SAM
6.421718560408556;11.43;4.0;65.25;5.3;Yolo V8,Fast SAM
5.895022801608914;11.35;4.0;67.5;5.3;Yolo V8,Fast SAM
6.650932422819762;11.70;4.0;66.5;5.3;Yolo V8,Fast SAM
6.598713815661376;12.07;4.1;68.0;5.3;Yolo V8,Fast SAM
6.176007569330273;11.88;4.1;67.75;5.3;Yolo V8,Fast SAM
5.837948099947668;12.90;4.1;70.5;5.3;Yolo V8,Fast SAM
5.801516453742652;13.32;4.1;68.0;5.3;Yolo V8,Fast SAM
6.068677327904083;13.35;4.1;70.75;5.3;Yolo V8,Fast SAM
6.072545752844325;13.40;4.1;70.75;5.3;Yolo V8,Fast SAM
