FPS;CPU;RAM;GPU;VRAM;Running Models
0.0;3.80;0.5;24.0;0.0;
0.0;11.35;0.7;23.5;0.0;Fast SAM
0.6768975755046468;11.35;0.7;23.5;0.0;Fast SAM
0.2256325251682156;9.70;1.6;35.666666666666664;0.1;Fast SAM
0.2256325251682156;8.65;2.0;41.75;0.1;
0.2820406564602695;9.00;2.8;38.25;0.2;Room Classification
13.188181395422017;9.00;2.8;38.25;0.2;Room Classification
3.579086005315774;6.70;3.5;38.5;0.2;Room Classification
4.304633112768555;6.32;3.7;29.5;0.2;
5.3243832596686405;9.90;3.8;17.5;0.2;Fast SAM
2.28975528771634;9.90;3.8;17.5;0.2;Fast SAM
5.840413950305671;10.70;3.8;25.0;0.2;Fast SAM
4.003472089026585;9.78;3.8;28.0;0.1;
4.109568609954287;14.25;3.8;31.0;0.1;Fast SAM
2.2481583205064943;14.25;3.8;31.0;0.1;Fast SAM
3.595449911888773;11.53;3.8;42.5;0.2;Fast SAM
3.921873567931881;10.78;3.8;47.0;0.1;
3.4422384723384334;10.68;3.8;40.5;0.2;Room Classification
13.528159208341616;10.68;3.8;40.5;0.2;Room Classification
5.823410252167191;6.67;3.8;38.0;0.2;Room Classification
6.717223235082365;5.53;3.8;30.0;0.2;
7.497666565880763;5.90;4.4;31.75;0.6;Image Captioning
2.5531271353481277;5.90;4.4;31.75;0.6;Image Captioning
7.1554799577348245;5.80;5.1;38.5;1.0;Image Captioning
5.562310145083127;4.92;5.7;41.25;0.9;
5.497035118312112;5.35;6.3;37.5;1.0;Room Classification
12.990292107852767;5.35;6.3;37.5;1.0;Room Classification
7.065302336504711;6.20;6.3;27.75;0.6;Room Classification
8.193346136793856;5.90;6.3;25.0;0.2;
8.452812681558616;8.35;6.3;18.75;0.2;Fast SAM
2.295148916329929;8.35;6.3;18.75;0.2;Fast SAM
7.636022374370316;8.88;6.3;26.25;0.2;Fast SAM
6.297454940999703;7.60;6.3;28.5;0.1;
6.105493092123451;10.40;6.3;30.75;0.1;Fast SAM
2.3170783214281085;10.40;6.3;30.75;0.1;Fast SAM
4.636426138282014;9.45;6.3;41.25;0.2;Fast SAM
5.221745443770036;8.88;6.3;44.5;0.1;
4.618176211119966;13.88;6.3;49.25;0.1;Fast SAM
2.2627124969324734;13.88;6.3;49.25;0.1;Fast SAM
3.6094906001031584;12.15;6.3;53.25;0.2;Fast SAM
3.9325936697719204;10.85;6.3;45.75;0.1;
3.756635552644397;15.18;6.3;38.25;0.1;Fast SAM
2.2633096054500137;15.18;6.3;38.25;0.1;Fast SAM
3.0170265930643914;10.95;6.3;39.0;0.2;Fast SAM
3.205605117097371;9.72;6.3;40.5;0.1;
3.1046337463459244;12.35;6.3;48.75;0.1;Fast SAM
2.299732339670835;12.35;6.3;48.75;0.1;Fast SAM
2.696418413820653;8.82;6.3;57.75;0.2;Fast SAM
2.804695615913312;7.75;6.3;58.5;0.1;
2.7516128716255426;12.80;6.3;46.75;0.1;Fast SAM
2.2771695129077463;12.80;6.3;46.75;0.1;Fast SAM
2.5195039705781364;11.18;6.3;43.75;0.2;Fast SAM
2.574446878304962;10.25;6.3;40.0;0.1;
2.5439539944260394;10.95;6.4;36.75;0.5;Image Captioning
2.677609865400556;10.95;6.4;36.75;0.5;Image Captioning
2.51218255679785;6.55;6.5;40.25;1.0;Image Captioning
2.5709358177703763;5.55;6.4;35.0;0.9;
2.583793779568436;11.20;6.4;29.75;0.9;Fast SAM
2.2744783470835808;11.20;6.4;29.75;0.9;Fast SAM
2.508801646763091;11.62;6.4;33.25;0.5;Fast SAM
2.4665995921037247;11.28;6.3;42.5;0.1;
2.455203850930193;11.80;6.3;39.25;0.2;Room Classification
13.009282682605996;11.80;6.3;39.25;0.2;Room Classification
5.064790567139098;6.95;6.3;39.5;0.2;Room Classification
5.7623686221529775;5.88;6.3;30.5;0.2;
6.575760366000448;10.22;6.3;18.0;0.2;Fast SAM
2.184280951442183;10.22;6.3;18.0;0.2;Fast SAM
6.5051807058350635;10.70;6.3;26.0;0.2;Fast SAM
4.87915521164233;9.57;6.3;28.5;0.1;
4.832746372768138;10.75;6.3;31.0;0.1;Yolo V8
3.1091026915706523;10.75;6.3;31.0;0.1;Yolo V8
4.169429890122557;6.58;6.3;37.5;0.1;Yolo V8
4.665717124792651;5.55;6.3;36.0;0.1;
4.205851229532048;10.25;6.3;30.0;0.1;Fast SAM
2.21115242664119;10.25;6.3;30.0;0.1;Fast SAM
3.5388505332817624;10.25;6.3;31.5;0.1;Fast SAM
3.64628749370954;10.03;6.3;32.5;0.1;
3.515501894606286;10.78;6.4;39.5;0.5;Image Captioning
2.716362312349479;10.78;6.4;39.5;0.5;Image Captioning
3.0281631914954925;6.43;6.4;44.75;1.0;Image Captioning
3.2324158827090685;5.38;6.5;42.5;0.9;
3.155807220065895;10.85;6.6;40.25;0.9;Fast SAM
2.3003550650948545;10.85;6.6;40.25;0.9;Fast SAM
2.8193241129122235;11.03;6.5;37.75;0.5;Fast SAM
2.84506456305291;10.83;6.4;34.0;0.1;
2.7992899059422642;14.35;6.4;30.25;0.1;Fast SAM
2.1309014009121623;14.35;6.4;30.25;0.1;Fast SAM
2.5239112854930377;9.93;6.3;37.0;0.2;Fast SAM
2.579800340592583;9.15;6.3;38.0;0.1;
2.5199193975126732;9.30;6.3;36.25;0.2;Room Classification
12.342930348437939;9.30;6.3;36.25;0.2;Room Classification
4.894385843858931;6.62;6.3;38.5;0.2;Room Classification
5.585256954595622;5.70;6.3;30.25;0.2;
6.350593371871269;8.50;6.3;22.0;0.2;Yolo V8
3.2444192768339155;8.50;6.3;22.0;0.2;Yolo V8
6.516748105931602;8.65;6.3;28.25;0.1;Yolo V8
5.0602025453050175;7.80;6.3;30.5;0.1;
