FPS;CPU;RAM;GPU;VRAM;Running Models
0.0;12.40;0.5;7.0;0.0;
0.0;12.20;1.9;39.0;1.8;Image Captioning
1.320221411797965;12.20;1.9;39.0;1.8;Image Captioning
1.320221411797965;14.60;3.2;23.0;1.8;Image Captioning
1.320221411797965;8.00;3.2;23.0;0.0;
1.320221411797965;28.60;3.5;5.0;0.0;Fast SAM
2.067439410463943;28.60;3.5;5.0;0.0;Fast SAM
2.067439410463943;13.20;3.6;12.0;0.3;Fast SAM
2.067439410463943;14.30;3.6;42.0;0.0;
2.067439410463943;29.70;3.6;42.0;0.0;Fast SAM
2.6047095926041477;29.70;3.6;42.0;0.0;Fast SAM
2.6047095926041477;14.60;3.6;17.0;0.3;Fast SAM
2.6047095926041477;43.40;3.6;17.0;0.0;
2.6047095926041477;11.70;3.9;12.0;0.3;Room Classification
13.93346125749648;11.70;3.9;12.0;0.3;Room Classification
13.93346125749648;15.60;3.9;12.0;0.4;Room Classification
13.93346125749648;14.30;3.7;8.0;0.0;
13.93346125749648;24.00;3.7;8.0;0.0;Yolo V8
3.298053124610829;24.00;3.7;8.0;0.0;Yolo V8
3.298053124610829;16.80;3.6;17.0;0.2;Yolo V8
3.298053124610829;37.30;3.6;17.0;0.0;
3.298053124610829;9.90;3.9;3.0;0.3;Room Classification
14.52894712553305;9.90;3.9;3.0;0.3;Room Classification
14.52894712553305;20.60;3.9;3.0;0.4;Room Classification
14.52894712553305;21.30;3.7;17.0;0.0;
14.52894712553305;28.10;3.7;17.0;0.0;Yolo V8
3.3812511396029525;28.10;3.7;17.0;0.0;Yolo V8
3.3812511396029525;13.80;3.6;20.0;0.2;Yolo V8
3.3812511396029525;13.30;3.6;20.0;0.0;
3.3812511396029525;30.30;3.7;20.0;0.0;Yolo V8
3.5813278989383655;30.30;3.7;20.0;0.0;Yolo V8
3.5813278989383655;13.90;3.6;21.0;0.2;Yolo V8
3.5813278989383655;15.60;3.6;21.0;0.0;
3.5813278989383655;10.50;3.9;3.0;0.3;Room Classification
13.910233175664064;10.50;3.9;3.0;0.3;Room Classification
13.910233175664064;14.40;3.9;17.0;0.4;Room Classification
13.910233175664064;11.60;3.7;17.0;0.0;
13.910233175664064;33.30;3.7;17.0;0.0;Yolo V8
2.617028126359305;33.30;3.7;17.0;0.0;Yolo V8
2.617028126359305;16.90;3.6;39.0;0.2;Yolo V8
2.617028126359305;9.30;3.6;45.0;0.0;
2.617028126359305;29.20;3.7;45.0;0.0;Yolo V8
3.4250831125499848;29.20;3.7;45.0;0.0;Yolo V8
3.4250831125499848;13.10;3.6;27.0;0.2;Yolo V8
3.4250831125499848;13.00;3.6;27.0;0.0;
3.4250831125499848;30.80;3.7;27.0;0.0;Yolo V8
2.7794434905424033;30.80;3.7;27.0;0.0;Yolo V8
2.7794434905424033;13.90;3.6;52.0;0.2;Yolo V8
2.7794434905424033;14.00;3.6;52.0;0.0;
2.7794434905424033;23.30;3.6;11.0;0.0;Fast SAM
2.416069438262852;23.30;3.6;11.0;0.0;Fast SAM
2.416069438262852;13.20;3.6;44.0;0.3;Fast SAM
2.416069438262852;12.80;3.6;44.0;0.0;
2.416069438262852;31.80;3.7;44.0;0.0;Yolo V8
3.5216930587203428;31.80;3.7;44.0;0.0;Yolo V8
3.5216930587203428;15.40;3.6;22.0;0.2;Yolo V8
3.5216930587203428;11.60;3.6;22.0;0.0;
3.5216930587203428;13.30;6.4;66.0;1.8;Image Captioning
2.2643003855156594;13.30;6.4;66.0;1.8;Image Captioning
2.2643003855156594;13.60;6.4;15.0;1.8;Image Captioning
2.2643003855156594;9.70;4.9;15.0;0.0;
2.2643003855156594;28.20;3.6;15.0;0.0;Fast SAM
2.445826777363248;28.20;3.6;15.0;0.0;Fast SAM
2.445826777363248;13.00;3.6;52.0;0.3;Fast SAM
2.445826777363248;12.80;3.6;52.0;0.0;
2.445826777363248;13.40;6.4;46.0;1.8;Image Captioning
