FPS;CPU;RAM;GPU;VRAM;Running Models
0.0;12.20;0.7;7.0;0.0;Yolo V8
0.8087370575210902;12.20;0.7;7.0;0.0;Yolo V8
0.8087370575210902;12.90;3.0;16.0;0.2;Yolo V8
0.8087370575210902;16.20;3.2;16.0;0.0;Yolo V8
3.6196888486500054;16.20;3.2;16.0;0.0;Yolo V8
3.6196888486500054;13.00;3.1;28.0;0.2;Yolo V8
3.6196888486500054;17.20;3.3;28.0;0.0;Yolo V8
3.5790696550637895;17.20;3.3;28.0;0.0;Yolo V8
3.5790696550637895;14.00;3.1;23.0;0.2;Yolo V8
3.5790696550637895;20.80;3.3;9.0;0.0;Yolo V8
3.6220187562103754;20.80;3.3;9.0;0.0;Yolo V8
3.6220187562103754;13.50;3.1;18.0;0.2;Yolo V8
3.6220187562103754;21.40;3.3;16.0;0.0;Yolo V8
3.5097141218169945;21.40;3.3;16.0;0.0;Yolo V8
3.5097141218169945;17.20;3.1;18.0;0.2;Yolo V8
3.5097141218169945;21.10;3.3;16.0;0.0;Yolo V8
3.505394463816341;21.10;3.3;16.0;0.0;Yolo V8
3.505394463816341;13.80;3.1;16.0;0.2;Yolo V8
3.505394463816341;16.40;3.3;18.0;0.0;Yolo V8
3.6613541357962807;16.40;3.3;18.0;0.0;Yolo V8
3.6613541357962807;13.90;3.1;16.0;0.2;Yolo V8
3.6613541357962807;15.30;3.3;18.0;0.0;Yolo V8
3.6402424934451334;15.30;3.3;18.0;0.0;Yolo V8
3.6402424934451334;13.10;3.1;16.0;0.2;Yolo V8
3.6402424934451334;14.80;3.3;18.0;0.0;Yolo V8
3.5552377646947706;14.80;3.3;18.0;0.0;Yolo V8
3.5552377646947706;13.40;3.1;18.0;0.2;Yolo V8
3.5552377646947706;14.90;3.3;18.0;0.0;Yolo V8
3.6171677611141386;14.90;3.3;18.0;0.0;Yolo V8
3.6171677611141386;14.60;3.1;21.0;0.2;Yolo V8
3.6171677611141386;16.90;3.3;21.0;0.0;Yolo V8
3.486316504060155;16.90;3.3;21.0;0.0;Yolo V8
3.486316504060155;13.80;3.1;20.0;0.2;Yolo V8
3.486316504060155;22.90;3.3;20.0;0.0;Yolo V8
3.7266953019236606;22.90;3.3;20.0;0.0;Yolo V8
3.7266953019236606;13.30;3.1;21.0;0.2;Yolo V8
3.7266953019236606;20.00;3.3;21.0;0.0;Yolo V8
3.58389595989965;20.00;3.3;21.0;0.0;Yolo V8
3.58389595989965;13.30;3.1;22.0;0.2;Yolo V8
