FPS;CPU;RAM;GPU;VRAM;Running Models
0.6496024698571579;0.00;0.0;0;0.0;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.8241442625512632;12.20;3.8;4.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.815270701562012;13.20;3.9;2.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.733642644768461;13.30;3.9;2.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7252391690440476;13.70;3.9;0.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7347532932061351;13.40;3.9;0.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.8128946559496528;13.50;3.9;0.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7314125564160114;13.40;3.9;5.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7740232035321852;12.90;3.9;3.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.8193537366973123;13.60;3.9;2.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.812901022091023;13.40;3.9;1.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7132485557070958;13.70;3.9;0.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7691081039015095;13.20;3.9;9.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7599954006397103;14.40;3.9;5.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7370682658843726;13.30;3.9;4.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7491724061871936;13.60;3.9;2.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7899542910832156;13.80;3.9;2.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7237065675230008;13.60;3.9;0.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7727475113794509;13.30;3.9;0.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7262088638075024;13.70;3.9;9.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7209235840293444;13.50;3.9;7.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7282037120273361;13.60;3.9;5.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.769486721129497;13.40;3.9;3.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.761048880995184;13.60;3.9;2.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.6866269976494066;13.20;3.9;2.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.735428674875613;13.60;3.9;2.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.6759019028651223;13.60;3.9;2.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.6445459936240032;13.40;3.9;1.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.78209127823442;13.70;3.9;3.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7767865898758082;13.60;3.9;0.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.8115981280276645;13.70;3.9;0.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7955114554971328;13.50;3.9;7.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7708153724697997;13.30;3.9;2.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.74942065179873;13.60;3.9;2.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.8038685964348686;13.30;3.9;2.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.802085443556426;13.60;3.9;0.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.824453276804854;13.40;3.9;8.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7608117198354054;13.50;3.9;3.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.8288510893739744;13.70;3.9;2.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7349770265097;13.60;3.9;2.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.694588055133428;13.80;3.9;0.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.715184687666052;13.20;3.9;0.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.6483530684712873;13.60;3.9;0.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.705561103584367;13.60;3.9;0.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7559967530568201;13.40;3.9;0.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7651808914923612;13.60;3.9;8.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.815625602198217;13.80;3.9;4.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7048063674110452;13.70;3.9;2.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.8178690852052564;13.10;3.9;2.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7317730976721908;13.50;3.9;0.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.8322439406334625;13.50;3.9;1.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.741851779801808;13.50;3.9;7.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.6902324394795891;13.60;3.9;4.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7345909078105277;13.60;3.9;3.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.6827912849443882;14.40;3.9;2.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.8119340127410635;13.40;3.9;2.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7428623243368144;13.60;3.9;2.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7428591257831159;13.30;3.9;0.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.6946548949267837;13.50;3.9;0.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7476625843076172;13.70;3.9;1.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7440189046067869;13.60;3.9;9.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.724373420982818;13.40;3.9;6.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
1.7397851507295277;13.60;3.9;5.0;2.6;Yolo V8,Fast SAM,Image Captioning,Room Classification
