FPS;CPU;RAM;GPU;VRAM;Running Models
2478.9475382984792;4.60;2.2;34.0;3.5;
2371.050422750821;5.30;2.2;34.0;3.5;
3224.1631685465236;3.27;2.2;34.0;3.5;
2979.5779725026937;2.60;2.2;36.5;3.5;
3251.9584919779018;2.80;2.2;39.0;3.5;
3448.977550540223;3.17;2.2;38.0;3.5;
2805.757414254378;2.77;2.2;37.0;3.5;
3016.3910689746144;1.45;2.2;37.5;3.5;
3305.686773023992;3.00;2.2;38.0;3.5;
2981.0346576824572;3.92;2.2;36.5;3.5;
2711.937950867191;3.70;2.2;35.0;3.5;
3118.577678990614;3.55;2.2;35.0;3.5;
3552.2338221829395;2.85;2.2;35.0;3.5;
2824.6991697398894;2.65;2.2;34.5;3.5;
2566.2740267134654;4.40;2.2;34.0;3.5;
3252.1277045407946;5.95;2.2;34.5;3.5;
2699.5799453857426;3.98;2.2;35.0;3.5;
2835.91401507882;1.42;2.2;35.5;3.5;
2248.5451912340136;2.80;2.2;36.0;3.5;
2630.9419824651072;4.32;2.2;35.0;3.5;
3033.124755214619;4.30;2.2;34.0;3.5;
2421.04371184953;3.22;2.2;31.0;3.5;
1408.2027812896465;1.25;2.2;28.0;3.5;
2728.6097459889925;2.38;2.2;28.0;3.5;
3323.782996664222;2.98;2.2;28.0;3.5;
2768.2733725062344;2.95;2.2;28.5;3.5;
3361.9208675727414;4.50;2.2;29.0;3.5;
2870.058118923027;4.10;2.2;28.5;3.5;
3098.1621707071017;2.58;2.2;28.0;3.5;
2474.7084794511297;2.77;2.2;32.5;3.5;
2591.3784836355458;2.17;2.2;37.0;3.5;
3020.6369919911913;1.45;2.2;35.0;3.5;
2769.5230602660836;1.45;2.2;33.0;3.4;
2557.93727945378;0.85;2.2;34.0;3.4;
2767.055437747539;1.45;2.2;35.0;3.4;
1747.8667288048575;11.48;2.2;35.0;3.4;
2751.5539402202817;18.55;2.2;35.0;3.4;
3231.800921534319;10.90;2.2;36.5;3.4;
3051.739185847908;4.97;2.2;38.0;3.4;
3436.6032614267156;4.28;2.2;37.0;3.4;
3039.162650265061;3.90;2.2;36.0;3.4;
3246.4159565641758;3.35;2.2;32.0;3.4;
2869.004139663854;3.75;2.2;28.0;3.4;
2887.8364326886267;4.72;2.2;30.0;3.4;
3046.5234596363784;4.30;2.2;32.0;3.4;
2590.237394966458;2.20;2.2;31.0;3.4;
2872.787235605926;0.85;2.2;30.0;3.4;
3038.0362135910136;2.38;2.2;29.0;3.4;
3043.111764492941;4.47;2.2;28.0;3.4;
3024.8857352583873;2.75;2.2;37.0;3.4;
2950.9144880829685;1.65;2.2;46.0;3.4;
3116.7212094815727;2.80;2.2;38.0;3.4;
3005.945760786625;2.40;2.2;30.0;3.4;
2659.2774213458606;1.25;2.2;28.5;3.4;
2665.0747288286057;0.85;2.2;27.0;3.4;
2893.95395105999;1.67;2.2;27.5;3.4;
3108.5538076144717;3.40;2.2;28.0;3.4;
2676.724011228942;4.47;2.2;26.5;3.4;
2474.7758472714595;3.15;2.2;25.0;3.4;
2840.0538475837766;3.85;2.2;26.0;3.4;
2374.9584381830214;6.68;2.2;27.0;3.4;
2558.526289028782;6.45;2.2;25.5;3.4;
3157.283221203653;3.20;2.2;24.0;3.4;
2566.682409132547;1.02;2.2;24.5;3.4;
3320.8248926244373;3.12;2.2;25.0;3.4;
3052.9317306546277;2.70;2.2;26.0;3.4;
3374.274531055528;1.05;2.2;27.0;3.4;
3097.0779069681757;2.85;2.2;26.5;3.4;
2760.6692966880464;2.62;2.2;26.0;3.4;
2383.2107567338503;1.65;2.2;36.0;3.4;
3180.267078610881;2.45;2.2;46.0;3.4;
3149.1103765465987;4.72;2.2;36.5;3.4;
2972.095000075884;5.28;2.2;27.0;3.4;
1811.2956017143779;4.10;2.2;27.0;3.4;
2225.7686134319592;3.58;2.2;27.0;3.4;
2962.822503213065;3.78;2.2;27.5;3.4;
1989.1511696453852;4.95;2.2;28.0;3.4;
2819.482624623477;4.58;2.2;26.5;3.4;
2734.631371998027;4.50;2.2;25.0;3.4;
2207.471407843693;3.18;2.2;26.5;3.4;
3098.4789571106235;3.12;2.2;28.0;3.4;
2998.293970777543;3.90;2.2;28.0;3.4;
3005.0153702956554;3.70;2.2;28.0;3.4;
1575.4308409682642;4.47;2.2;28.0;3.4;
3031.9568250232724;2.40;2.2;28.0;3.4;
2671.3325941822673;2.18;2.2;28.0;3.4;
2786.0973740997006;3.72;2.2;28.0;3.4;
2601.9915642571423;2.20;2.2;27.0;3.4;
2954.23593142642;0.82;2.2;26.0;3.4;
3216.4993548865173;0.82;2.2;36.0;3.4;
2747.7736165690744;0.65;2.2;46.0;3.4;
2886.011215136213;2.40;2.2;36.5;3.4;
2873.241217084994;4.15;2.2;27.0;3.4;
3294.4695737633674;2.17;2.2;26.5;3.4;
3101.996755145399;1.45;2.2;26.0;3.4;
2241.629754541884;1.88;2.2;27.0;3.4;
3293.677456949637;3.23;2.2;28.0;3.4;
3293.1025967208675;3.45;2.2;26.0;3.4;
3325.2640258160395;2.80;2.2;24.0;3.4;
2864.4677103044555;4.53;2.2;25.5;3.4;
3270.2288181145996;3.00;2.2;27.0;3.4;
3599.01243112527;2.17;2.2;27.5;3.4;
2782.4383619483597;2.17;2.2;28.0;3.4;
2330.9316965457433;0.85;2.2;28.5;3.4;
3364.081034106824;0.62;2.2;29.0;3.4;
3017.1282373881386;1.95;2.2;28.0;3.4;
3069.3959739479824;5.97;2.2;27.0;3.4;
0.6630230056166779;15.12;2.3;26.5;3.4;Fast SAM
9.78526433130434;17.55;2.8;25.0;3.8;Fast SAM
9.847282823498713;17.35;3.3;30.0;4.1;Fast SAM
9.282942624487653;19.30;3.9;37.25;4.4;Fast SAM
9.677539356328158;14.58;4.4;44.75;4.7;Fast SAM
9.268350738969522;16.55;4.4;53.5;4.7;Fast SAM
9.016210849572204;16.23;4.5;55.25;4.7;Fast SAM
