FPS;CPU;RAM;GPU;VRAM;Running Models
1.3987939156841822;14.30;1.9;43.0;1.8;Image Captioning
3.0341786326413147;17.00;3.2;20.0;1.8;Image Captioning
2.9584665671381245;13.50;3.2;17.0;1.8;Image Captioning
3.153545191381016;14.80;3.2;16.0;1.8;Image Captioning
2.950534376740324;13.40;3.2;27.0;1.8;Image Captioning
3.1557918898614843;17.00;3.2;30.0;1.8;Image Captioning
3.0508229858913305;13.40;3.2;31.0;1.8;Image Captioning
3.213411081175876;13.40;3.2;24.0;1.8;Image Captioning
3.140669151722236;14.60;3.2;23.0;1.8;Image Captioning
3.165504720149897;14.00;3.2;20.0;1.8;Image Captioning
3.160808732993006;13.80;3.2;16.0;1.8;Image Captioning
3.0930911688755196;16.00;3.2;28.0;1.8;Image Captioning
3.009613478923427;13.30;3.2;31.0;1.8;Image Captioning
3.1095327951894025;14.40;3.2;24.0;1.8;Image Captioning
3.085050133653256;15.30;3.2;24.0;1.8;Image Captioning
3.060013246000448;14.20;3.2;22.0;1.8;Image Captioning
2.952128258639656;17.60;3.2;18.0;1.8;Image Captioning
2.9377995305139217;13.70;3.2;20.0;1.8;Image Captioning
3.043109504801995;14.50;3.2;20.0;1.8;Image Captioning
2.8988024835352166;15.80;3.2;40.0;1.8;Image Captioning
3.0493480570100693;14.50;3.2;42.0;1.8;Image Captioning
3.113067311419987;16.10;3.2;44.0;1.8;Image Captioning
3.183272721858174;15.40;3.2;31.0;1.8;Image Captioning
3.2453005111618296;13.80;3.2;30.0;1.8;Image Captioning
3.120675192779302;13.50;3.2;25.0;1.8;Image Captioning
3.0426895706000536;14.40;3.2;19.0;1.8;Image Captioning
2.9757506496183495;13.70;3.2;36.0;1.8;Image Captioning
2.925011232553207;16.20;3.2;42.0;1.8;Image Captioning
3.0144823418624793;14.90;3.2;34.0;1.8;Image Captioning
3.008874763373409;13.50;3.2;37.0;1.8;Image Captioning
3.102894379257699;13.70;3.2;35.0;1.8;Image Captioning
3.0953895135846112;13.90;3.2;35.0;1.8;Image Captioning
3.056273230487611;14.10;3.2;31.0;1.8;Image Captioning
3.001594516046486;15.50;3.2;28.0;1.8;Image Captioning
3.032808488534266;13.40;3.2;24.0;1.8;Image Captioning
3.045103571663609;13.50;3.2;43.0;1.8;Image Captioning
3.024855696005385;13.40;3.2;45.0;1.8;Image Captioning
3.076049412636732;13.30;3.2;40.0;1.8;Image Captioning
2.9332752967214337;15.10;3.2;36.0;1.8;Image Captioning
3.054379463347384;13.40;3.2;36.0;1.8;Image Captioning
2.960774139403217;13.80;3.2;35.0;1.8;Image Captioning
