FPS;CPU;RAM;GPU;VRAM;Running Models
1.8572664128526748;13.60;1.6;6.0;0.3;Room Classification
13.56823033600679;14.60;3.0;8.0;0.4;Room Classification
14.65263553723716;15.20;3.0;8.0;0.4;Room Classification
15.764283355065121;16.10;3.0;5.0;0.4;Room Classification
16.017964467498178;15.70;3.0;7.0;0.4;Room Classification
15.660500642131769;14.60;3.0;7.0;0.4;Room Classification
14.675787923176317;14.60;3.0;7.0;0.4;Room Classification
15.662351036352543;16.50;3.0;7.0;0.4;Room Classification
15.329530720671947;16.50;3.0;7.0;0.4;Room Classification
15.264768633105986;15.40;3.0;7.0;0.4;Room Classification
14.131402000354578;13.50;3.0;5.0;0.4;Room Classification
15.822847150152365;16.00;3.0;7.0;0.4;Room Classification
14.537127256068844;16.30;3.0;7.0;0.4;Room Classification
14.061307271529072;15.60;3.0;7.0;0.4;Room Classification
15.380215696482985;15.60;3.0;7.0;0.4;Room Classification
15.502179141353391;14.30;3.0;7.0;0.4;Room Classification
14.377862416782028;25.80;3.0;5.0;0.4;Room Classification
14.377600710266771;16.70;3.0;5.0;0.4;Room Classification
15.547273350313544;15.10;3.0;7.0;0.4;Room Classification
15.22937950771641;15.70;3.0;7.0;0.4;Room Classification
16.288825637536753;16.80;3.0;7.0;0.4;Room Classification
14.72084284248663;17.40;3.0;7.0;0.4;Room Classification
14.137212761653434;15.40;3.0;6.0;0.4;Room Classification
15.602397002435968;15.60;3.0;6.0;0.4;Room Classification
14.753727389090983;15.70;3.0;6.0;0.4;Room Classification
13.854456715498767;17.20;3.0;7.0;0.4;Room Classification
15.27597126683285;18.00;3.0;7.0;0.4;Room Classification
15.015911009397643;17.60;3.0;7.0;0.4;Room Classification
15.444425705207104;15.60;3.0;7.0;0.4;Room Classification
14.098291398442273;15.60;3.0;6.0;0.4;Room Classification
16.10677555197593;17.20;3.0;6.0;0.4;Room Classification
15.268370001898935;14.90;3.0;6.0;0.4;Room Classification
15.061285273411915;15.60;3.0;7.0;0.4;Room Classification
14.377487431188834;18.60;3.0;7.0;0.4;Room Classification
14.67551978162378;24.50;3.0;7.0;0.4;Room Classification
12.91626907163324;17.50;3.0;5.0;0.4;Room Classification
14.026909784817912;16.70;3.0;5.0;0.4;Room Classification
14.430008599651561;14.70;3.0;7.0;0.4;Room Classification
14.812583929869898;20.20;3.0;7.0;0.4;Room Classification
13.43680100079628;16.30;3.0;7.0;0.4;Room Classification
15.609051451685346;16.50;3.0;5.0;0.4;Room Classification
15.057448079366285;15.90;3.0;5.0;0.4;Room Classification
14.776864324589967;15.60;3.0;7.0;0.4;Room Classification
15.245122978451056;16.10;3.0;7.0;0.4;Room Classification
16.492134257930257;15.20;3.0;7.0;0.4;Room Classification
14.583098028985187;16.30;3.0;7.0;0.4;Room Classification
13.642792616303417;18.10;3.0;7.0;0.4;Room Classification
13.516282707618828;17.00;3.0;12.0;0.4;Room Classification
13.146730222158757;15.00;3.0;12.0;0.4;Room Classification
13.240374254535784;15.20;3.0;19.0;0.4;Room Classification
14.505153637604117;14.40;3.0;19.0;0.4;Room Classification
12.314487328126663;22.20;3.0;18.0;0.4;Room Classification
12.42946001774249;16.80;3.0;17.0;0.4;Room Classification
12.939203302972187;14.70;3.0;17.0;0.4;Room Classification
14.613559044635728;16.00;3.0;21.0;0.4;Room Classification
13.26336114526926;15.20;3.0;14.0;0.4;Room Classification
13.453705248648546;14.50;3.0;14.0;0.4;Room Classification
13.753729272139699;15.60;3.0;21.0;0.4;Room Classification
14.389074502365569;15.20;3.0;21.0;0.4;Room Classification
12.531850010082247;19.10;3.0;17.0;0.4;Room Classification
12.507823017874193;14.00;3.0;18.0;0.4;Room Classification
12.564962584272175;15.40;3.0;18.0;0.4;Room Classification
12.824824921273006;18.40;3.0;22.0;0.4;Room Classification
12.522848092863688;15.50;3.0;15.0;0.4;Room Classification
13.401532122163575;14.90;3.0;15.0;0.4;Room Classification
15.11591670961519;15.60;3.0;22.0;0.4;Room Classification
12.118524599718896;12.20;3.0;22.0;0.4;Room Classification
10.042947056183884;22.30;3.0;16.0;0.4;Room Classification
10.66095023672226;17.20;3.0;29.0;0.4;Room Classification
10.21700238748595;12.60;3.0;23.0;0.4;Room Classification
9.427772842333273;15.50;3.0;23.0;0.4;Room Classification
13.710152675122467;15.60;3.0;37.0;0.4;Room Classification
12.574816226927197;16.50;3.0;24.0;0.4;Room Classification
12.329662324381134;17.50;3.0;24.0;0.4;Room Classification
10.548353075607668;13.60;3.0;23.0;0.4;Room Classification
10.798526640420764;15.50;3.0;26.0;0.4;Room Classification
10.128547678291067;15.80;3.0;26.0;0.4;Room Classification
11.18979977242745;14.90;3.0;33.0;0.4;Room Classification
12.45876305164427;15.30;3.0;36.0;0.4;Room Classification
9.30759341952108;16.20;3.0;15.0;0.4;Room Classification
10.746942024852954;15.00;3.0;15.0;0.4;Room Classification
10.409066313419066;15.00;3.0;34.0;0.4;Room Classification
10.923210171086032;19.80;3.0;34.0;0.4;Room Classification
10.455594915866502;17.10;3.0;34.0;0.4;Room Classification
11.516707408378089;15.20;3.0;27.0;0.4;Room Classification
14.159046444844272;14.30;3.0;38.0;0.4;Room Classification
8.953291947290301;16.00;3.0;38.0;0.4;Room Classification
10.894214680669275;14.20;3.0;15.0;0.4;Room Classification
12.53757416943555;15.50;3.0;42.0;0.4;Room Classification
12.9947475620718;15.50;3.0;15.0;0.4;Room Classification
14.812944872536384;15.40;3.0;15.0;0.4;Room Classification
13.604800252478814;15.70;3.0;20.0;0.4;Room Classification
13.086329560845481;13.80;3.0;20.0;0.4;Room Classification
13.531504746202458;13.90;3.0;15.0;0.4;Room Classification
13.146498798149262;16.20;3.0;20.0;0.4;Room Classification
14.607957693652788;15.20;3.0;20.0;0.4;Room Classification
13.02781695567922;19.60;3.0;21.0;0.4;Room Classification
14.05529578252569;19.40;3.0;13.0;0.4;Room Classification
13.589981400534645;18.80;3.0;13.0;0.4;Room Classification
13.44512362041726;15.20;3.0;22.0;0.4;Room Classification
13.092059592515543;15.60;3.0;22.0;0.4;Room Classification
13.43894137266782;16.70;3.0;17.0;0.4;Room Classification
9.740751837955996;15.30;3.0;19.0;0.4;Room Classification
10.311800702001326;14.80;3.0;19.0;0.4;Room Classification
12.285474575023994;13.30;3.0;36.0;0.4;Room Classification
11.219704511856657;15.10;3.0;24.0;0.4;Room Classification
11.170374540281705;15.50;3.0;24.0;0.4;Room Classification
10.82203999347107;13.70;3.0;24.0;0.4;Room Classification
13.065687771400103;15.20;3.0;41.0;0.4;Room Classification
13.3256357354258;15.50;3.0;41.0;0.4;Room Classification
13.87756999581077;15.50;3.0;16.0;0.4;Room Classification
14.06768308395298;16.00;3.0;22.0;0.4;Room Classification
12.405212238463314;15.60;3.0;22.0;0.4;Room Classification
14.294430825423316;25.70;3.0;21.0;0.4;Room Classification
13.515792933778599;18.90;3.0;13.0;0.4;Room Classification
13.517333804270198;14.60;3.0;13.0;0.4;Room Classification
13.98377990600969;16.30;3.0;23.0;0.4;Room Classification
14.657738364582517;16.70;3.0;23.0;0.4;Room Classification
13.47228958185448;16.30;3.0;21.0;0.4;Room Classification
13.486960967971653;15.30;3.0;14.0;0.4;Room Classification
13.876396662803925;15.30;3.0;14.0;0.4;Room Classification
13.734131550073421;15.80;3.0;21.0;0.4;Room Classification
13.841599640473344;15.60;3.0;21.0;0.4;Room Classification
11.771212038996264;16.30;3.0;22.0;0.4;Room Classification
11.295953832240087;15.20;3.0;22.0;0.4;Room Classification
10.900509156254513;15.20;3.0;22.0;0.4;Room Classification
13.402746155621468;14.50;3.0;38.0;0.4;Room Classification
13.812125125937857;16.30;3.0;18.0;0.4;Room Classification
15.19247983185341;14.60;3.0;18.0;0.4;Room Classification
9.714751955763676;17.20;3.0;21.0;0.4;Room Classification
9.582217060941504;20.60;3.0;26.0;0.4;Room Classification
9.855039950676124;13.60;3.0;26.0;0.4;Room Classification
13.019992628318825;19.20;3.0;41.0;0.4;Room Classification
13.943508711045363;15.60;3.0;24.0;0.4;Room Classification
13.651912357817391;14.90;3.0;24.0;0.4;Room Classification
13.141511249302738;15.30;3.0;22.0;0.4;Room Classification
12.361280780005051;15.80;3.0;16.0;0.4;Room Classification
12.612596114006891;15.20;3.0;16.0;0.4;Room Classification
14.258860370231552;17.60;3.0;21.0;0.4;Room Classification
13.686095735588781;15.10;3.0;21.0;0.4;Room Classification
13.852555943357643;14.40;3.0;19.0;0.4;Room Classification
14.182711130406176;15.30;3.0;17.0;0.4;Room Classification
13.106554466013081;15.50;3.0;17.0;0.4;Room Classification
13.880882126134823;14.90;3.0;22.0;0.4;Room Classification
12.555128628106369;15.00;3.0;22.0;0.4;Room Classification
12.810773676191287;18.30;3.0;13.0;0.4;Room Classification
12.130085021075947;17.90;3.0;21.0;0.4;Room Classification
12.054010937192764;15.10;3.0;21.0;0.4;Room Classification
11.854899070223857;15.20;3.0;21.0;0.4;Room Classification
12.324758419581029;16.00;3.0;37.0;0.4;Room Classification
13.044070801937929;15.40;3.0;37.0;0.4;Room Classification
11.484948876877912;15.80;3.0;18.0;0.4;Room Classification
10.947012834432886;18.40;3.0;30.0;0.4;Room Classification
8.703261321776095;14.40;3.0;30.0;0.4;Room Classification
9.957369811371654;14.70;3.0;24.0;0.4;Room Classification
13.71246545105188;14.40;3.0;47.0;0.4;Room Classification
13.21228397306567;14.70;3.0;17.0;0.4;Room Classification
12.87647745830666;15.20;3.0;17.0;0.4;Room Classification
12.2633606739324;16.30;3.0;20.0;0.4;Room Classification
14.784404936528293;15.20;3.0;14.0;0.4;Room Classification
