FPS;CPU;RAM;GPU;VRAM;Running Models
0.7830549073028705;0.00;0.0;0;0.0;Yolo V8
16.340527174102913;12.60;3.0;5.0;0.2;Yolo V8
13.785553908506609;11.60;3.0;17.0;0.2;Yolo V8
16.264448746625582;12.40;3.0;6.0;0.2;Yolo V8
16.618509273586476;12.60;3.0;6.0;0.2;Yolo V8
16.489944209392238;11.60;3.0;12.0;0.2;Yolo V8
16.37202988661948;11.80;3.0;12.0;0.2;Yolo V8
15.946213803494967;12.60;3.0;12.0;0.2;Yolo V8
16.092788961328655;11.50;3.0;12.0;0.2;Yolo V8
16.25622357327362;11.60;3.0;12.0;0.2;Yolo V8
16.067529641930797;12.80;3.0;12.0;0.2;Yolo V8
16.16395944588057;12.20;3.0;12.0;0.2;Yolo V8
16.3684780106583;12.50;3.0;12.0;0.2;Yolo V8
16.328418843910043;12.50;3.0;7.0;0.2;Yolo V8
15.903700169199341;12.40;3.0;10.0;0.2;Yolo V8
16.460726246150337;11.40;3.0;10.0;0.2;Yolo V8
16.716058160825522;12.60;3.0;12.0;0.2;Yolo V8
16.06688270513011;12.80;3.0;12.0;0.2;Yolo V8
16.141989849862984;12.60;3.0;12.0;0.2;Yolo V8
16.440447209198922;11.60;3.0;12.0;0.2;Yolo V8
16.36931371791944;12.60;3.0;12.0;0.2;Yolo V8
16.463106121551547;12.60;3.0;12.0;0.2;Yolo V8
16.628379545610354;12.60;3.0;12.0;0.2;Yolo V8
16.256051010210193;13.80;3.0;12.0;0.2;Yolo V8
16.8824610982628;11.60;3.0;8.0;0.2;Yolo V8
15.699203758417724;12.80;3.0;10.0;0.2;Yolo V8
16.10428853816814;12.40;3.0;10.0;0.2;Yolo V8
16.47701268065625;11.50;3.0;12.0;0.2;Yolo V8
16.319658237681196;11.60;3.0;12.0;0.2;Yolo V8
16.019986022002488;12.60;3.0;12.0;0.2;Yolo V8
16.32617690067546;11.60;3.0;12.0;0.2;Yolo V8
16.507218763588597;12.60;3.0;12.0;0.2;Yolo V8
16.417898293686626;11.80;3.0;12.0;0.2;Yolo V8
16.187900602971816;12.80;3.0;11.0;0.2;Yolo V8
15.980278035719904;13.30;3.0;11.0;0.2;Yolo V8
16.43069396914917;12.60;3.0;10.0;0.2;Yolo V8
16.349061621152593;12.50;3.0;8.0;0.2;Yolo V8
16.499624740840325;12.80;3.0;8.0;0.2;Yolo V8
16.129740145524796;12.60;3.0;12.0;0.2;Yolo V8
16.26978214336645;11.60;3.0;12.0;0.2;Yolo V8
16.362395647724338;11.80;3.0;12.0;0.2;Yolo V8
16.50048423971488;11.60;3.0;12.0;0.2;Yolo V8
16.62873845423575;12.60;3.0;12.0;0.2;Yolo V8
16.17851398217875;12.00;3.0;12.0;0.2;Yolo V8
16.00691857434762;12.40;3.0;12.0;0.2;Yolo V8
16.20860737018222;12.50;3.0;12.0;0.2;Yolo V8
16.53281834701655;13.30;3.0;12.0;0.2;Yolo V8
16.32381672766686;11.90;3.0;12.0;0.2;Yolo V8
16.24210270400328;11.50;3.0;6.0;0.2;Yolo V8
16.530981199647357;12.60;3.0;12.0;0.2;Yolo V8
1.7969598497769366;12.80;3.0;12.0;0.2;Fast SAM
12.009858460446289;14.90;3.1;95.0;0.3;Fast SAM
11.395585181646721;11.90;3.1;53.0;0.3;Fast SAM
11.659365300082468;11.50;3.1;53.0;0.3;Fast SAM
11.649993060676083;11.80;3.1;55.0;0.3;Fast SAM
11.500760321028611;11.80;3.1;62.0;0.3;Fast SAM
11.624033335213918;12.50;3.1;62.0;0.3;Fast SAM
11.735981170985728;12.80;3.1;46.0;0.3;Fast SAM
11.563629199206627;11.10;3.1;69.0;0.3;Fast SAM
11.823978512884441;11.80;3.1;69.0;0.3;Fast SAM
12.24215601602956;12.80;3.1;42.0;0.3;Fast SAM
11.397784384708212;12.10;3.1;68.0;0.3;Fast SAM
12.408887587810288;14.00;3.1;42.0;0.3;Fast SAM
12.455932002486858;10.30;3.1;42.0;0.3;Fast SAM
11.803612533344255;12.30;3.1;57.0;0.3;Fast SAM
11.837439147145565;12.80;3.1;52.0;0.3;Fast SAM
12.08531332057623;10.10;3.1;52.0;0.3;Fast SAM
11.921529536042573;11.80;3.1;42.0;0.3;Fast SAM
11.40885314909293;12.00;3.1;67.0;0.3;Fast SAM
11.725129294764342;12.30;3.1;44.0;0.3;Fast SAM
11.408907557055736;11.90;3.1;44.0;0.3;Fast SAM
12.08850721446624;12.50;3.1;60.0;0.3;Fast SAM
11.652723755434456;12.10;3.1;54.0;0.3;Fast SAM
11.626152644401214;11.70;3.1;54.0;0.3;Fast SAM
11.413941104091052;12.60;3.1;53.0;0.3;Fast SAM
11.433462467832053;13.30;3.1;62.0;0.3;Fast SAM
11.219375592422997;12.50;3.1;62.0;0.3;Fast SAM
11.826652916370081;12.70;3.1;46.0;0.3;Fast SAM
11.335588896378933;11.70;3.1;66.0;0.3;Fast SAM
11.512237767787298;11.70;3.1;47.0;0.3;Fast SAM
11.451405662291462;11.50;3.1;47.0;0.3;Fast SAM
11.316363796985907;12.20;3.1;63.0;0.3;Fast SAM
11.220992933766684;12.50;3.1;57.0;0.3;Fast SAM
