FPS;CPU;RAM;GPU;VRAM;Running Models
0.0;4.20;0.5;27.0;0.0;
0.0;13.15;0.7;27.0;0.0;Yolo V8
0.7030257718119353;13.15;0.7;27.0;0.0;Yolo V8
0.23434192393731176;10.50;1.4;25.666666666666668;0.1;Yolo V8
0.23434192393731176;9.28;1.8;26.25;0.1;
0.2929274049216397;14.40;2.5;26.5;0.1;Yolo V8
3.221295723168492;14.40;2.5;26.5;0.1;Yolo V8
1.0982513357137629;10.38;3.1;28.5;0.1;Yolo V8
1.1970577266892195;10.00;3.1;31.5;0.1;
1.4377366773771967;15.18;3.2;33.25;0.1;Yolo V8
3.288536018746024;15.18;3.2;33.25;0.1;Yolo V8
2.201285201079375;10.35;3.2;34.25;0.1;Yolo V8
1.9462825705570952;9.78;3.2;32.0;0.1;
2.1582903792679287;15.98;3.2;29.75;0.1;Yolo V8
3.3536391038824735;15.98;3.2;29.75;0.1;Yolo V8
2.697435723566242;10.93;3.2;28.5;0.1;Yolo V8
2.5496606497712966;11.00;3.2;28.0;0.1;
2.636754511944277;15.65;3.2;29.0;0.1;Yolo V8
3.4421693231213966;15.65;3.2;29.0;0.1;Yolo V8
3.0107262000853523;10.12;3.2;30.75;0.1;Yolo V8
2.924997974136072;9.70;3.2;31.5;0.1;
2.9818885367785297;15.57;3.2;32.25;0.1;Yolo V8
3.3456559193915516;15.57;3.2;32.25;0.1;Yolo V8
3.1808873541835934;11.53;3.2;34.0;0.1;Yolo V8
3.115566861949142;10.83;3.2;35.0;0.1;
3.14177702741509;17.52;3.2;30.25;0.1;Yolo V8
3.2880441637438835;17.52;3.2;30.25;0.1;Yolo V8
3.2325385748170428;11.38;3.2;30.0;0.1;Yolo V8
3.2042592386734157;11.10;3.2;27.75;0.1;
3.2101022097958714;16.92;3.2;25.5;0.1;Yolo V8
3.32591072099436;16.92;3.2;25.5;0.1;Yolo V8
3.262688174557175;10.65;3.2;30.0;0.1;Yolo V8
3.2563491772604984;10.80;3.2;30.0;0.1;
3.262301827871362;16.43;3.2;31.0;0.1;Yolo V8
3.2828323847110887;16.43;3.2;31.0;0.1;Yolo V8
3.2819451143807807;11.20;3.2;32.75;0.1;Yolo V8
3.2709537127273856;10.78;3.2;33.5;0.1;
3.273020097269938;16.00;3.2;34.25;0.1;Yolo V8
3.2933296640775964;16.00;3.2;34.25;0.1;Yolo V8
3.2822652189742128;10.70;3.2;35.0;0.1;Yolo V8
3.282123427539994;10.65;3.2;35.0;0.1;
3.2821680058297966;14.22;3.2;31.5;0.1;Yolo V8
3.207384980824972;14.22;3.2;31.5;0.1;Yolo V8
3.266275822854194;9.22;3.2;30.25;0.1;Yolo V8
3.2595123625483433;8.60;3.2;28.75;0.1;
3.2538241484418755;14.40;3.2;27.25;0.1;Yolo V8
3.3758287608934823;14.40;3.2;27.25;0.1;Yolo V8
3.2772504817802477;11.22;3.2;29.75;0.1;Yolo V8
3.294716857019067;11.10;3.2;30.0;0.1;
3.301827115560285;17.70;3.2;30.5;0.1;Yolo V8
3.408574281555309;17.70;3.2;30.5;0.1;Yolo V8
3.3390925953120263;11.90;3.2;32.25;0.1;Yolo V8
3.3299085539166624;11.52;3.2;33.5;0.1;
3.3430730719507666;16.70;3.2;34.75;0.1;Yolo V8
3.1998450046278175;16.70;3.2;34.75;0.1;Yolo V8
3.319355108852954;10.58;3.2;36.25;0.1;Yolo V8
3.2970503156773647;10.38;3.2;36.5;0.1;
3.2865397457686996;15.07;3.2;33.75;0.1;Yolo V8
3.2475964936190884;15.07;3.2;33.75;0.1;Yolo V8
3.265961730694306;10.15;3.2;33.25;0.1;Yolo V8
3.2824909122109283;9.85;3.2;32.0;0.1;
