Timestamp;FPS;CPU;RAM;GPU;VRAM;Running Models
1713728529.5403888;0;0.00;0.5;2.0;0.0;
1713728529.556098;0;0.00;0.5;2.0;0.0;
1713728529.5720222;0;0.00;0.5;2.0;0.0;
1713728529.5862868;0;0.00;0.5;2.0;0.0;
1713728529.6031587;0;0.00;0.5;2.0;0.0;
1713728529.6173744;0;0.00;0.5;2.0;0.0;
1713728529.6326604;0;0.00;0.5;2.0;0.0;
1713728529.6496835;0;0.00;0.5;2.0;0.0;
1713728529.6675684;0;0.00;0.5;1.0;0.0;
1713728529.6802485;0;0.00;0.5;1.0;0.0;
1713728529.696636;0;0.00;0.5;1.0;0.0;
1713728529.7116463;0;0.00;0.5;1.0;0.0;
1713728529.727041;0;0.00;0.5;1.0;0.0;
1713728529.7427044;0;0.00;0.5;1.0;0.0;
1713728529.7572389;0;0.00;0.5;1.0;0.0;
1713728529.772771;0;0.00;0.5;1.0;0.0;
1713728529.7879891;0;0.00;0.5;1.0;0.0;
1713728529.8044279;0;0.00;0.5;1.0;0.0;
1713728529.8200397;0;0.00;0.5;1.0;0.0;
1713728529.8361185;0;0.00;0.5;1.0;0.0;
1713728529.8503747;0;0.00;0.5;1.0;0.0;
1713728529.866933;0;0.00;0.5;2.0;0.0;
1713728529.8844469;0;0.00;0.5;2.0;0.0;
1713728529.8979487;0;0.00;0.5;2.0;0.0;
1713728529.9123728;0;0.00;0.5;2.0;0.0;
1713728529.9271052;0;0.00;0.5;2.0;0.0;
1713728529.9451413;0;0.00;0.5;2.0;0.0;
1713728529.9601805;0;0.00;0.5;2.0;0.0;
1713728529.9770021;0;0.00;0.5;2.0;0.0;
1713728529.9951818;0;0.00;0.5;2.0;0.0;
1713728530.0083034;0;0.00;0.5;2.0;0.0;
1713728530.022403;0;0.00;0.5;2.0;0.0;
1713728530.0373528;0;0.00;0.5;2.0;0.0;
1713728530.0528686;0;0.00;0.5;2.0;0.0;
1713728530.068883;0;0.00;0.5;3.0;0.0;
1713728530.085922;0;0.00;0.5;3.0;0.0;
1713728530.100901;0;0.00;0.5;3.0;0.0;
1713728530.115655;0;10.00;0.5;3.0;0.0;
1713728530.131158;0;0.00;0.5;3.0;0.0;
1713728530.146972;0;0.00;0.5;3.0;0.0;
1713728530.1627111;0;22.20;0.5;3.0;0.0;
1713728530.1785758;0;0.00;0.5;3.0;0.0;
1713728530.194084;0;2.50;0.5;3.0;0.0;
1713728530.210863;0;0.00;0.5;3.0;0.0;
1713728530.2261114;0;0.00;0.5;3.0;0.0;
1713728530.241589;0;0.00;0.5;3.0;0.0;
1713728530.255974;0;0.00;0.5;3.0;0.0;
1713728530.2714794;0;0.00;0.5;1.0;0.0;
1713728530.288186;0;0.00;0.5;1.0;0.0;
1713728530.3041978;0;0.00;0.5;1.0;0.0;
1713728530.3183713;0;4.00;0.5;1.0;0.0;
1713728530.3339493;0;0.00;0.5;1.0;0.0;
1713728530.3496795;0;0.00;0.5;1.0;0.0;
1713728530.3656883;0;0.00;0.5;1.0;0.0;
1713728530.3802018;0;0.00;0.5;1.0;0.0;
1713728530.3971732;0;0.00;0.5;1.0;0.0;
1713728530.4117165;0;0.00;0.5;1.0;0.0;
1713728530.427275;0;0.00;0.5;1.0;0.0;
1713728530.4436483;0;0.00;0.5;1.0;0.0;
1713728530.45828;0;0.00;0.5;1.0;0.0;
1713728530.4735062;0;0.00;0.5;2.0;0.0;
1713728530.4900217;0;0.00;0.5;2.0;0.0;
1713728530.5070314;0;0.00;0.5;2.0;0.0;
1713728530.5203907;0;0.00;0.5;2.0;0.0;
1713728530.5347297;0;0.00;0.5;2.0;0.0;
1713728530.5516393;0;0.00;0.5;2.0;0.0;
1713728530.5671444;0;3.60;0.5;2.0;0.0;
1713728530.5834973;0;0.00;0.5;2.0;0.0;
1713728530.602002;0;0.00;0.5;2.0;0.0;
1713728530.6150026;0;0.00;0.5;2.0;0.0;
1713728530.6305456;0;10.00;0.5;2.0;0.0;
1713728530.6468678;0;3.20;0.5;2.0;0.0;
1713728530.6667361;0;5.60;0.5;1.0;0.0;
1713728530.67775;0;5.60;0.5;1.0;0.0;
